size,regions,wetness
41.161,Steinburg,humid
26.497,Kiel,humid
39.894,Dithmarschen,humid
17.783,Neumünster,humid
36.158,Rendsburg-Eckernförde,humid
27.181,Stormarn,humid
22.208,Plön,humid
20.196,Schleswig-Flensburg,humid
36.75,Ostholstein,humid
33.442,Plön,humid
32.654,Neumünster,humid
37.55,Steinburg,humid
26.742,Ostholstein,humid
24.121,Herzogtum Lauenburg,humid
24.281,Ostholstein,humid
30.688,Dithmarschen,medium
17.212,Herzogtum Lauenburg,medium
28.264,Neumünster,medium
21.166,Segeberg,medium
9.171,Plön,medium
29.976,Dithmarschen,medium
29.383,Stormarn,medium
30.895,Herzogtum Lauenburg,medium
29.016,Nordfriesland,medium
17.295,Flensburg,medium
9.956,Schleswig-Flensburg,medium
27.504,Nordfriesland,medium
47.512,Ostholstein,medium
28.931,Ostholstein,medium
37.054,Ostholstein,medium
12.294,Stormarn,arid
16.063,Schleswig-Flensburg,arid
0.653,Flensburg,arid
11.816,Kiel,arid
14.575,Pinneberg,arid
0.598,Stormarn,arid
0.488,Segeberg,arid
9.769,Pinneberg,arid
9.294,Segeberg,arid
26.149,Segeberg,arid
2.136,Pinneberg,arid
26.477,Nordfriesland,arid
4.881,Flensburg,arid
3.893,Flensburg,arid
1.735,Neumünster,arid
