;"Gegenstaendige Kerben";"senkrechtes Fischgraetmuster";"Waagerechte Linien";"Horizontal angeordnete Ritzlinien";"Vertikales Leiterbandmuster";"Haengende halbmondfoermige Linienfuehrung";"geritztes Kreuz";"Waagrechte Oesen";"Schlickrauhung";"haengende gefuellte Dreiecke";"verdickte Randlippe";"plastische Zier"
1;1;1;0;0;0;1;1;0;1;1;1;0
2;1;1;1;0;0;0;1;0;0;1;1;0
3;1;1;1;0;0;0;1;1;0;1;1;0
4;1;1;0;0;1;0;1;0;1;1;1;0
5;0;1;1;1;0;0;1;0;0;1;1;0
6;0;1;0;0;1;0;0;0;0;1;0;0
7;1;1;1;0;1;1;0;0;0;1;0;0
8;0;1;1;0;0;1;0;0;0;1;0;0
9;0;1;1;1;0;0;1;0;0;1;0;0
10;1;1;1;0;0;0;1;0;0;1;0;0
11;1;1;0;0;1;0;0;0;1;1;0;0
12;0;1;0;0;0;1;1;1;0;0;0;0
13;1;0;0;1;0;0;0;1;1;0;0;1
14;0;0;1;1;0;0;0;0;0;0;1;1
15;1;1;0;1;0;1;0;0;1;0;1;1
16;0;0;1;1;0;0;0;0;0;0;1;1
17;0;0;1;1;0;1;0;0;0;0;1;1
18;0;1;0;1;1;0;0;0;1;0;1;1
19;1;0;0;1;0;1;0;1;0;1;0;1
20;0;0;0;1;1;1;0;0;1;0;1;1
21;0;0;0;1;0;0;1;0;0;0;0;1
22;0;0;0;1;0;0;0;0;0;0;0;1
23;0;1;0;1;1;0;1;0;0;0;0;1
