"Name";"Einwohnerzahl";"Flaeche";"Bruttoinlandsprodukt";"Weltrang nach CPI"
"Estland";1340021;45227;19123;27
"Irland";4456000;70182;227781;16
"Norwegen";4856464;323759;382983;14
"Schweden";9340682;450295;405440;1
"Kroatien";4489409;56542;63188;62
"UK";61113205;24482;2183607;16
"Panama";3332576;75517;45214;85
"Peru";29546963;1285220;122900;72
"Angola";12127100;1246700;61356;168
"Botsuana";1640150;582000;12313;33
"Demokratische Republik Kongo";66514506;2345410;10144;164
"Lesotho";2128180;30355;1600;78
"Malawi";12900000;118480;3538;85
"Mauritius";1250000;2040;6959;42
"Mosambik";20300000;801590;7559;116
"Namibia";1900000;824292;7400;56
"Sambia";11300000;752614;11156;101
"Simbabwe";11750000;390757;641;134
"Suedafrika";47850700;1219912;282630;54
"Swasiland";1100000;17363;2936;91
"Tansania";36766356;945087;16184;126
