"","to3","f4","b2","to2","b3","b7","kw5","vg1","vg2","t4a","kw2","kw4","b5","t3b","f3","kw3","kw1","b6","to1","b1","t3a","vg4","ks2","ks1","t2b","f2","bs3","t2a","bs2","b4","bs1","f1","t1b","vg3","t1a"
"achenheim_1.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0
"achenheim_1.2",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0
"didenheim_2",0,0,1,0,0,0,1,1,0,0,1,0,2,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"entzheim_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,2
"geispolzheim_4",0,0,3,0,0,1,0,8,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"hoenheim_5",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,1,0,0
"kertzfeld_6",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0.5,0.5,2,0,0,1,0,0,0,0,0,0,0
"mundolsheim_8.1",1,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mundolsheim_8.2",0,0,0,0,0,0,2,1,0,0,5,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"strasbourg_9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,2,0
"wolfisheim_10",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"munzingen_11.1",0,2,0,0,0,1,1,0,0,0,1,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"munzingen_11.2",0,2,0,0,0,0,2,0,0,0,2,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"munzingen_11.3",0,1,1,0,1,1,1,1,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"munzingen_11.4",0,1,2,0,1,2,0,0,0,0,2,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"munzingen_11.5",0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"jechtingen_12.1",0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"jechtingen_12.2",0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"thayingen_13",0,1,1,0,0,1,2,1,0,1,1,0,0,1,0,9,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"hornstaad_14",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0
"iggelheim_15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,2,1,2,0,2
"bolanden_16",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"handschuhsheim_17",0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,4,4,0,2,3,0,1,4.5,3.5,3,4,0,2,0,0,0,0,0,0,0
"rohrbach_18",0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,2,2,0,0,2,4,0,0.5,0.5,4,0,0,1,0,0,0,0,0,0,0
"untergrombach_19.1",1,1,1,0,0,0,0,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"untergrombach_19.2",0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"untergrombach_19.3",0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"untergrombach_19.4",0,0,1,1,0,1,0,3,0,2,1,1,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"untergrombach_19.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0
"untergrombach_19.6",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"untergrombach_19.7",0,0,1,0,0,2,0,3,1,0,6,2,0,1,0,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"untergrombach_19.8",0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,4,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"aislingen_20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"ammerbuch_21",1,0,2,0,0,0,1,0,0,0,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ehrenstein_22.1",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.5,0.5,0,1,2,1,8,0,0,3,1,0,0
"ehrenstein_22.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,2,1,7,0,1,0,1,0,0
"ehrenstein_22.3",0,0,0,0,0,0,1,0,0,0,1,6,0,0,0,25,10,0,1,1,0,0,0,0,1,2,8,1,18,0,4,0,0,0,0
"ehrenstein_22.4",0,0,1,0,0,0,4,0,0,0,6,10,0,0,1,30,18,0,0,1,0,0,0,0,1,0,2,1,4,0,0,0,0,0,0
"goldburghausen_23.1",0,0,0,0,0,1,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"goldburghausen_23.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"klingenberg_24.1",0,0,0,0,1,0,3,1,2,0,3,6,0,1,0,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"klingenberg_24.2",0,0,6,0,0,4,6,6,1,0,8,24,2,0,0,7,6,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"klingenberg_24.3",0,1,6,1,1,0,6,1,2,0,4,11,2,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"klingenberg_24.4",0,0,1,0,0,0,1,0,0,2,2,4,0,1,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"klingenberg_24.5",0,0,0,0,0,0,1,3,0,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"klingenberg_24.6",1,0,5,0,0,0,1,1,0,2,0,0,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"klingenberg_24.7",1,0,0,0,2,0,0,1,4,0,0,2,1,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"klingenberg_24.8",0,0,2,0,1,0,2,1,2,0,1,2,0,1,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ilsfeld_25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,1,0,1,0,0,0,0,1,0,0
"ludwigsburg_26.1",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ludwigsburg_26.2",0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ludwigsburg_26.3",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"nuertingen_27",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"stuttgart_28.1",0,0,0,0,0,0,1,0,1,0,2,2,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"stuttgart_28.2",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gerlachsheim_29",0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hopferstadt_30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0
"schäftersheim_31",0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
